,Description,Price,Rating,ReviewCount,Url,Image src,Website_Name
0,Mango Banganapalli 1 kg,₹75,4.0,"(3,057)",http://www.flipkart.com/mango-banganapalli-1-kg/p/itmc6dc772ed6dbc?pid=FRTFF2Q2TDWTZYJ5&lid=LSTFRTFF2Q2TDWTZYJ5PWGK81&marketplace=GROCERY&q=mango&store=eat&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=24d387b5-87ae-453b-b8c0-9be785f315cf.FRTFF2Q2TDWTZYJ5.SEARCH&ppt=None&ppn=None&ssid=zn1b97nd8g0000001655407518014&qH=aa00faf97d042c13,https://rukminim1.flixcart.com/image/612/612/juk4gi80/fruit/g/x/e/2-un-branded-whole-original-imaffns6sgkkshkz.jpeg?q=70,Flipkart
1,Mango Totapuri 1 kg,₹33,4.3,(163),http://www.flipkart.com/mango-totapuri-1-kg/p/itm96c74ea12f2c9?pid=FRTFFHGPHNEENMGF&lid=LSTFRTFFHGPHNEENMGFOQYHKD&marketplace=GROCERY&q=mango&store=eat&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=24d387b5-87ae-453b-b8c0-9be785f315cf.FRTFFHGPHNEENMGF.SEARCH&ppt=None&ppn=None&ssid=zn1b97nd8g0000001655407518014&qH=aa00faf97d042c13,https://rukminim1.flixcart.com/image/612/612/kk5rgy80/fruit/y/7/e/unbranded-whole-original-imafzkbscpsr9juu.jpeg?q=70,Flipkart
2,Mango Langra 1 kg,₹99,4.2,(13),http://www.flipkart.com/mango-langra-1-kg/p/itmbe43e3214b04a?pid=FRTG2GWPAHYCAHWC&lid=LSTFRTG2GWPAHYCAHWCLRAQHR&marketplace=GROCERY&q=mango&store=eat&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=24d387b5-87ae-453b-b8c0-9be785f315cf.FRTG2GWPAHYCAHWC.SEARCH&ppt=None&ppn=None&ssid=zn1b97nd8g0000001655407518014&qH=aa00faf97d042c13,https://rukminim1.flixcart.com/image/612/612/knyxqq80/fruit/o/j/2/1-unbranded-whole-original-imag2gy3tqdnhvcw.jpeg?q=70,Flipkart
3,Ratnagiri Alphonso Mango 3 Units,₹249,3.8,(347),http://www.flipkart.com/ratnagiri-alphonso-mango-3-units/p/itm0bfdc1f4f53f1?pid=FRTGCXTGKZNSQYUM&lid=LSTFRTGCXTGKZNSQYUMUPTTN3&marketplace=GROCERY&q=mango&store=eat&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=24d387b5-87ae-453b-b8c0-9be785f315cf.FRTGCXTGKZNSQYUM.SEARCH&ppt=None&ppn=None&ssid=zn1b97nd8g0000001655407518014&qH=aa00faf97d042c13,https://rukminim1.flixcart.com/image/612/612/knj7wcw0/fruit/j/c/d/12-unbranded-whole-original-imag26vtx8rjputg.jpeg?q=70,Flipkart
4,Mango Himsagar 1 kg,₹95,3.6,(12),http://www.flipkart.com/mango-himsagar-1-kg/p/itm2492228e18e62?pid=FRTGCQVS7AE88XK5&lid=LSTFRTGCQVS7AE88XK58KIFBE&marketplace=GROCERY&q=mango&store=eat&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=24d387b5-87ae-453b-b8c0-9be785f315cf.FRTGCQVS7AE88XK5.SEARCH&ppt=None&ppn=None&ssid=zn1b97nd8g0000001655407518014&qH=aa00faf97d042c13,https://rukminim1.flixcart.com/image/612/612/l13whow0/fruit/q/s/f/1-1-unbranded-whole-original-imagcryh9has3vbm.jpeg?q=70,Flipkart
5,Mango Kesar 1 kg,₹129,4.2,(64),http://www.flipkart.com/mango-kesar-1-kg/p/itm86aa49ebda7d5?pid=FRTFFHGPENAKZ6V4&lid=LSTFRTFFHGPENAKZ6V44HZLTQ&marketplace=GROCERY&q=mango&store=eat&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=24d387b5-87ae-453b-b8c0-9be785f315cf.FRTFFHGPENAKZ6V4.SEARCH&ppt=None&ppn=None&ssid=zn1b97nd8g0000001655407518014&qH=aa00faf97d042c13,https://rukminim1.flixcart.com/image/612/612/kk5rgy80/fruit/0/u/p/unbranded-whole-original-imafzk6zh3yugyhz.jpeg?q=70,Flipkart
6,Mango Sindhura 1 kg,₹75,3.7,(421),http://www.flipkart.com/mango-sindhura-1-kg/p/itm5b3cfc758d9d4?pid=FRTFFHGPNZVHK6UB&lid=LSTFRTFFHGPNZVHK6UBR0SBPG&marketplace=GROCERY&q=mango&store=eat&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=24d387b5-87ae-453b-b8c0-9be785f315cf.FRTFFHGPNZVHK6UB.SEARCH&ppt=None&ppn=None&ssid=zn1b97nd8g0000001655407518014&qH=aa00faf97d042c13,https://rukminim1.flixcart.com/image/612/612/kk5rgy80/fruit/a/x/b/unbranded-whole-original-imafzk6zddnqgadu.jpeg?q=70,Flipkart
7,Mango Mallika 1 kg,₹99,4.1,(58),http://www.flipkart.com/mango-mallika-1-kg/p/itm8e9b7009578c5?pid=FRTGYST6FYYQJFDZ&lid=LSTFRTGYST6FYYQJFDZQHZV6M&marketplace=GROCERY&q=mango&store=eat&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=24d387b5-87ae-453b-b8c0-9be785f315cf.FRTGYST6FYYQJFDZ.SEARCH&ppt=None&ppn=None&ssid=zn1b97nd8g0000001655407518014&qH=aa00faf97d042c13,https://rukminim1.flixcart.com/image/612/612/knj7wcw0/fruit/q/z/i/1-unbranded-whole-original-imag26vhzvsw8d9g.jpeg?q=70,Flipkart
8,Mango Dasheri 1 kg,₹199,3.5,(13),http://www.flipkart.com/mango-dasheri-1-kg/p/itm929c3b582e4b1?pid=FRTFFHGPZG2TG9YK&lid=LSTFRTFFHGPZG2TG9YK6JOPQ3&marketplace=GROCERY&q=mango&store=eat&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=24d387b5-87ae-453b-b8c0-9be785f315cf.FRTFFHGPZG2TG9YK.SEARCH&ppt=None&ppn=None&ssid=zn1b97nd8g0000001655407518014&qH=aa00faf97d042c13,https://rukminim1.flixcart.com/image/612/612/kk5rgy80/fruit/u/w/r/unbranded-whole-original-imafzkbsxrbc6ujz.jpeg?q=70,Flipkart
9,Ratnagiri Alphonso Mango 6 Units,₹289,3.8,(347),http://www.flipkart.com/ratnagiri-alphonso-mango-6-units/p/itm264059b60b707?pid=FRTFF2Q2RGKEK6Q8&lid=LSTFRTFF2Q2RGKEK6Q8IZ2NY7&marketplace=GROCERY&q=mango&store=eat&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=24d387b5-87ae-453b-b8c0-9be785f315cf.FRTFF2Q2RGKEK6Q8.SEARCH&ppt=None&ppn=None&ssid=zn1b97nd8g0000001655407518014&qH=aa00faf97d042c13,https://rukminim1.flixcart.com/image/612/612/kmds4nk0/fruit/z/3/j/6-unbranded-whole-original-imagfajcg7ghhdwx.jpeg?q=70,Flipkart
10,Mango Neelam 1 kg,₹180,3.9,(12),http://www.flipkart.com/mango-neelam-1-kg/p/itmee5af35c161e4?pid=FRTGYST64PKAZHR5&lid=LSTFRTGYST64PKAZHR51FKX6P&marketplace=GROCERY&q=mango&store=eat&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=24d387b5-87ae-453b-b8c0-9be785f315cf.FRTGYST64PKAZHR5.SEARCH&ppt=None&ppn=None&ssid=zn1b97nd8g0000001655407518014&qH=aa00faf97d042c13,https://rukminim1.flixcart.com/image/612/612/knj7wcw0/fruit/v/o/7/1-unbranded-whole-original-imag26vxykpxc4bh.jpeg?q=70,Flipkart
11,Mango Alphonso 4 Units,₹299,1.3,(3),http://www.flipkart.com/mango-alphonso-4-units/p/itm8f5ff0a51f0b0?pid=FRTGYST6D2HCXQ3E&lid=LSTFRTGYST6D2HCXQ3ESC4SJ4&marketplace=GROCERY&q=mango&store=eat&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=24d387b5-87ae-453b-b8c0-9be785f315cf.FRTGYST6D2HCXQ3E.SEARCH&ppt=None&ppn=None&ssid=zn1b97nd8g0000001655407518014&qH=aa00faf97d042c13,https://rukminim1.flixcart.com/image/612/612/kk5rgy80/fruit/t/y/e/unbranded-whole-original-imafzk6z3gxjkfh6.jpeg?q=70,Flipkart
12,Maaza Mango,₹51,4.5,"(6,059)",http://www.flipkart.com/maaza-mango/p/itmf9n2zbgpexhz8?pid=DAJFA6X4PHZBCA54&lid=LSTDAJFA6X4PHZBCA54WLYENT&marketplace=GROCERY&q=mango&store=eat&spotlightTagId=BestsellerId_eat&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=24d387b5-87ae-453b-b8c0-9be785f315cf.DAJFA6X4PHZBCA54.SEARCH&ppt=None&ppn=None&ssid=zn1b97nd8g0000001655407518014&qH=aa00faf97d042c13,https://rukminim1.flixcart.com/image/612/612/l3hmwsw0/drinks-juice/t/1/w/-original-imagehgyvbbxtsgr.jpeg?q=70,Flipkart
13,Maaza Mango Drink Original Flavor,₹31,4.5,"(6,059)",http://www.flipkart.com/maaza-mango-drink-original-flavor/p/itm99ad9fb4c1510?pid=DAJETHEDXAWRZCUE&lid=LSTDAJETHEDXAWRZCUEXK2RZM&marketplace=GROCERY&q=mango&store=eat&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=24d387b5-87ae-453b-b8c0-9be785f315cf.DAJETHEDXAWRZCUE.SEARCH&ppt=None&ppn=None&ssid=zn1b97nd8g0000001655407518014&qH=aa00faf97d042c13,https://rukminim1.flixcart.com/image/612/612/l3hmwsw0/drinks-juice/t/1/w/-original-imagehgyvbbxtsgr.jpeg?q=70,Flipkart
14,Paper boat Swing Slurpy Mango,₹28,4.5,(33),http://www.flipkart.com/paper-boat-swing-slurpy-mango/p/itmb9a963b6b956c?pid=DAJFZYS9AKGY3DDZ&lid=LSTDAJFZYS9AKGY3DDZBPW3DY&marketplace=GROCERY&q=mango&store=eat&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=24d387b5-87ae-453b-b8c0-9be785f315cf.DAJFZYS9AKGY3DDZ.SEARCH&ppt=None&ppn=None&ssid=zn1b97nd8g0000001655407518014&qH=aa00faf97d042c13,https://rukminim1.flixcart.com/image/612/612/klb78nk0/drinks-juice/o/p/k/swing-slurpy-mango-plastic-bottle-paper-boat-original-imagygsuyb3vxyhz.jpeg?q=70,Flipkart
15,FROOTI Mango Drink,₹12,4.1,(184),http://www.flipkart.com/frooti-mango-drink/p/itmexfz3zgpkndqr?pid=DAJEUARYJ6QPYHTX&lid=LSTDAJEUARYJ6QPYHTXDGXIIO&marketplace=GROCERY&q=mango&store=eat&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=24d387b5-87ae-453b-b8c0-9be785f315cf.DAJEUARYJ6QPYHTX.SEARCH&ppt=None&ppn=None&ssid=zn1b97nd8g0000001655407518014&qH=aa00faf97d042c13,https://rukminim1.flixcart.com/image/612/612/kxz0pe80/drinks-juice/5/p/t/-original-imagab2gaajw4tv3.jpeg?q=70,Flipkart
16,Paper boat Juice - Aamras,₹22,4.0,(628),http://www.flipkart.com/paper-boat-juice-aamras/p/itmf6fd2ueaqwh2h?pid=DAJETGU7UVUAFZJN&lid=LSTDAJETGU7UVUAFZJNYZWFHT&marketplace=GROCERY&q=mango&store=eat&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=24d387b5-87ae-453b-b8c0-9be785f315cf.DAJETGU7UVUAFZJN.SEARCH&ppt=None&ppn=None&ssid=zn1b97nd8g0000001655407518014&qH=aa00faf97d042c13,https://rukminim1.flixcart.com/image/612/612/l0sgyvk0/drinks-juice/d/r/4/-original-imagchvbzz9tfbhf.jpeg?q=70,Flipkart
17,Raw Pressery Mango Juice,₹37,3.8,(15),http://www.flipkart.com/raw-pressery-mango-juice/p/itm76376820ec77a?pid=DAJFQGTPRRZ7CHKQ&lid=LSTDAJFQGTPRRZ7CHKQAZYHTQ&marketplace=GROCERY&q=mango&store=eat&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=24d387b5-87ae-453b-b8c0-9be785f315cf.DAJFQGTPRRZ7CHKQ.SEARCH&ppt=None&ppn=None&ssid=zn1b97nd8g0000001655407518014&qH=aa00faf97d042c13,https://rukminim1.flixcart.com/image/612/612/kn4xhu80/drinks-juice/b/2/m/mango-plus-sugarcane-plastic-bottle-raw-pressery-original-imagfvdrrfbeenm3.jpeg?q=70,Flipkart
18,Real Alphonso Mango Nectar,₹75,4.2,"(9,891)",http://www.flipkart.com/real-alphonso-mango-nectar/p/itmf5cgsjfeqexrf?pid=DAJF5CGSPWURNMY4&lid=LSTDAJF5CGSPWURNMY4GMS7LX&marketplace=GROCERY&q=mango&store=eat&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=24d387b5-87ae-453b-b8c0-9be785f315cf.DAJF5CGSPWURNMY4.SEARCH&ppt=None&ppn=None&ssid=zn1b97nd8g0000001655407518014&qH=aa00faf97d042c13,https://rukminim1.flixcart.com/image/612/612/l111lzk0/drinks-juice/b/j/r/-original-imagczzzsaxcg76p.jpeg?q=70,Flipkart
19,Priyagold Treat Mango Masti,₹74,4.2,(95),http://www.flipkart.com/priyagold-treat-mango-masti/p/itmf5whh49rxqeye?pid=DAJF5WHHGU6PNHQV&lid=LSTDAJF5WHHGU6PNHQVZQSUQI&marketplace=GROCERY&q=mango&store=eat&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=24d387b5-87ae-453b-b8c0-9be785f315cf.DAJF5WHHGU6PNHQV.SEARCH&ppt=None&ppn=None&ssid=zn1b97nd8g0000001655407518014&qH=aa00faf97d042c13,https://rukminim1.flixcart.com/image/612/612/jrkyfm80/drinks-juice/h/q/v/2-treat-mango-masti-plastic-bottle-priyagold-original-imafdcsbyxtsxzud.jpeg?q=70,Flipkart
20,B Natural Mango Juice,₹93,4.3,(21),http://www.flipkart.com/b-natural-mango-juice/p/itm7c95f0bc349ef?pid=DAJEUC5GNTGUHGDR&lid=LSTDAJEUC5GNTGUHGDRRBE4V3&marketplace=GROCERY&q=mango&store=eat&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=24d387b5-87ae-453b-b8c0-9be785f315cf.DAJEUC5GNTGUHGDR.SEARCH&ppt=None&ppn=None&ssid=zn1b97nd8g0000001655407518014&qH=aa00faf97d042c13,https://rukminim1.flixcart.com/image/612/612/kr2e3680/drinks-juice/w/i/o/mango-tetrapack-b-natural-original-imag4y2unat3gb9b.jpeg?q=70,Flipkart
21,Slice Thickest Mango Drink,₹36,4.3,"(1,425)",http://www.flipkart.com/slice-thickest-mango-drink/p/itm56323b226c47a?pid=DAJEUHCZTGPJW3YQ&lid=LSTDAJEUHCZTGPJW3YQNCRTYE&marketplace=GROCERY&q=mango&store=eat&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=24d387b5-87ae-453b-b8c0-9be785f315cf.DAJEUHCZTGPJW3YQ.SEARCH&ppt=None&ppn=None&ssid=zn1b97nd8g0000001655407518014&qH=aa00faf97d042c13,https://rukminim1.flixcart.com/image/612/612/kfyasnk0/drinks-juice/3/y/q/600-thickest-mango-drink-plastic-bottle-slice-original-imafwauy4tnauchg.jpeg?q=70,Flipkart
22,Real Fruit Juice - Mango,₹70,4.2,"(9,891)",http://www.flipkart.com/real-fruit-juice-mango/p/itmf4n3fn8dhdrzz?pid=DAJEUARYQJSNUYXV&lid=LSTDAJEUARYQJSNUYXVPUYW4Q&marketplace=GROCERY&q=mango&store=eat&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=24d387b5-87ae-453b-b8c0-9be785f315cf.DAJEUARYQJSNUYXV.SEARCH&ppt=None&ppn=None&ssid=zn1b97nd8g0000001655407518014&qH=aa00faf97d042c13,https://rukminim1.flixcart.com/image/612/612/l111lzk0/drinks-juice/9/y/x/-original-imagczrtz2f469h4.jpeg?q=70,Flipkart
23,Cadbury INSTANT DRINK MIX MANGO,₹212,5.0,(3),http://www.flipkart.com/cadbury-instant-drink-mix-mango/p/itm3bf6059ae9d43?pid=DAJGDCZAREMF79CZ&lid=LSTDAJGDCZAREMF79CZE47KS2&marketplace=FLIPKART&q=mango&store=eat&srno=s_1_25&otracker=search&otracker1=search&fm=organic&iid=24d387b5-87ae-453b-b8c0-9be785f315cf.DAJGDCZAREMF79CZ.SEARCH&ppt=None&ppn=None&ssid=zn1b97nd8g0000001655407518014&qH=aa00faf97d042c13,https://rukminim1.flixcart.com/image/612/612/l1whaq80/drinks-juice/a/b/l/500-instant-drink-mix-mango-pouch-1-cadbury-original-imagdczaxx2yrzhh.jpeg?q=70,Flipkart
24,Testo Mango Fruit Drink 180ml X 4,₹230,4.6,(14),http://www.flipkart.com/testo-mango-fruit-drink-180ml-x-4/p/itmc0fb504554160?pid=DAJG3HMRFF9EHHW9&lid=LSTDAJG3HMRFF9EHHW9FMN5IN&marketplace=FLIPKART&q=mango&store=eat&srno=s_1_26&otracker=search&otracker1=search&fm=organic&iid=24d387b5-87ae-453b-b8c0-9be785f315cf.DAJG3HMRFF9EHHW9.SEARCH&ppt=None&ppn=None&ssid=zn1b97nd8g0000001655407518014&qH=aa00faf97d042c13,https://rukminim1.flixcart.com/image/612/612/kpbipow0/drinks-juice/v/s/m/180-mango-fruit-drink-180ml-x-4-can-testo-original-imag3hahyagh5hyn.jpeg?q=70,Flipkart
25,"ALPHA 8 Mango, Litchi & Guava Juice (12 x 200ml) Natura...",₹360,4.2,(216),http://www.flipkart.com/alpha-8-mango-litchi-guava-juice-12-x-200ml-natural-energizer-immunity-booster-healthy-juice-real-taste/p/itm7c5ef8c6619b3?pid=DAJG66KZPJFK5YW7&lid=LSTDAJG66KZPJFK5YW7DUUTY7&marketplace=FLIPKART&q=mango&store=eat&srno=s_1_27&otracker=search&otracker1=search&fm=organic&iid=24d387b5-87ae-453b-b8c0-9be785f315cf.DAJG66KZPJFK5YW7.SEARCH&ppt=None&ppn=None&ssid=zn1b97nd8g0000001655407518014&qH=aa00faf97d042c13,https://rukminim1.flixcart.com/image/612/612/kuyf8nk0/drinks-juice/9/5/m/2400-mango-litchi-guava-juice-12-x-200ml-natural-energizer-original-imag7yqfggzgrsh4.jpeg?q=70,Flipkart
