,Description,Price,Rating,ReviewCount,Url,Image src,Website_Name
26,Tang Mango Flavor Instant Drink Mix Glass Jar,₹535,4.3,(26),http://www.flipkart.com/tang-mango-flavor-instant-drink-mix-glass-jar/p/itmc1f98cdc3ccc8?pid=DAJFXZTBDERTF8VH&lid=LSTDAJFXZTBDERTF8VHT7JEXQ&marketplace=FLIPKART&q=mango&store=eat&srno=s_1_28&otracker=search&otracker1=search&fm=organic&iid=24d387b5-87ae-453b-b8c0-9be785f315cf.DAJFXZTBDERTF8VH.SEARCH&ppt=None&ppn=None&ssid=zn1b97nd8g0000001655407518014&qH=aa00faf97d042c13,https://rukminim1.flixcart.com/image/612/612/ki4w0i80-0/drinks-juice/m/n/t/750-mango-flavor-instant-drink-mix-glass-jar-plastic-bottle-tang-original-imafxztbwa3vzb24.jpeg?q=70,Flipkart
27,Tropicana Mango Delight Fruit Beverage,₹19,4.3,(41),http://www.flipkart.com/tropicana-mango-delight-fruit-beverage/p/itmew2ammtvbz8ch?pid=DAJEUARYYQWXDFMD&lid=LSTDAJEUARYYQWXDFMDF8TIV0&marketplace=GROCERY&q=mango&store=eat&srno=s_1_29&otracker=search&otracker1=search&fm=organic&iid=24d387b5-87ae-453b-b8c0-9be785f315cf.DAJEUARYYQWXDFMD.SEARCH&ppt=None&ppn=None&ssid=zn1b97nd8g0000001655407518014&qH=aa00faf97d042c13,https://rukminim1.flixcart.com/image/612/612/jerf7gw0/drinks-juice/f/m/d/200-mango-delight-fruit-beverage-tetrapack-tropicana-original-imaf3d9qwghtefjb.jpeg?q=70,Flipkart
28,"ALPHA 8 Natural Energizer & Immunity Booster, Healthy J...",₹360,3.3,(3),http://www.flipkart.com/alpha-8-natural-energizer-immunity-booster-healthy-juice-strawberry-12x200-ml/p/itmd47967595bc40?pid=DAJGD36CTR79GMGE&lid=LSTDAJGD36CTR79GMGEDXMX0W&marketplace=FLIPKART&q=mango&store=eat&srno=s_1_30&otracker=search&otracker1=search&fm=organic&iid=24d387b5-87ae-453b-b8c0-9be785f315cf.DAJGD36CTR79GMGE.SEARCH&ppt=None&ppn=None&ssid=zn1b97nd8g0000001655407518014&qH=aa00faf97d042c13,https://rukminim1.flixcart.com/image/612/612/l29c9e80/drinks-juice/e/k/g/2400-natural-energizer-immunity-booster-healthy-juice-strawberry-original-imagdn6qqyw2f6gd.jpeg?q=70,Flipkart
29,PARLE Frooti mango drink 12 × 150 ml,₹199,4.4,(87),http://www.flipkart.com/parle-frooti-mango-drink-12-150-ml/p/itmfcf364c18f22e?pid=DAJGY2Z6JMUYKWPH&lid=LSTDAJGY2Z6JMUYKWPHXT7ZLF&marketplace=FLIPKART&q=mango&store=eat&srno=s_1_31&otracker=search&otracker1=search&fm=organic&iid=24d387b5-87ae-453b-b8c0-9be785f315cf.DAJGY2Z6JMUYKWPH.SEARCH&ppt=None&ppn=None&ssid=zn1b97nd8g0000001655407518014&qH=aa00faf97d042c13,https://rukminim1.flixcart.com/image/612/612/kk4c13k0/aerated-drink/0/d/b/1800-frooti-mango-drink-tetrapack-parle-original-imafzgzutfb6uzz7.jpeg?q=70,Flipkart
30,ALOFRUT Mango Juice with Aloevera Pulp 150ml Pack of 60...,"₹1,190",5.0,(1),http://www.flipkart.com/alofrut-mango-juice-aloevera-pulp-150ml-pack-60-healthy-hai-isme/p/itm1458f5bebe161?pid=DAJG3GEMNEFJTEVN&lid=LSTDAJG3GEMNEFJTEVNPMJAQR&marketplace=FLIPKART&q=mango&store=eat&srno=s_1_32&otracker=search&otracker1=search&fm=organic&iid=24d387b5-87ae-453b-b8c0-9be785f315cf.DAJG3GEMNEFJTEVN.SEARCH&ppt=None&ppn=None&ssid=zn1b97nd8g0000001655407518014&qH=aa00faf97d042c13,https://rukminim1.flixcart.com/image/612/612/l3bx5e80/drinks-juice/w/u/w/9600-mango-juice-with-aloevera-pulp-150ml-pack-of-60-healthy-hai-original-imagegypjtzvk6zd.jpeg?q=70,Flipkart
31,"Mapro Combo Of Mango, Rose & Strawberry Crush - 1Ltr",₹900,4.8,(6),http://www.flipkart.com/mapro-combo-mango-rose-strawberry-crush-1ltr/p/itmcd7ea319ea5e2?pid=DAJG5RVAXJX4GPWM&lid=LSTDAJG5RVAXJX4GPWMVNRNG6&marketplace=FLIPKART&q=mango&store=eat&srno=s_1_33&otracker=search&otracker1=search&fm=organic&iid=24d387b5-87ae-453b-b8c0-9be785f315cf.DAJG5RVAXJX4GPWM.SEARCH&ppt=None&ppn=None&ssid=zn1b97nd8g0000001655407518014&qH=aa00faf97d042c13,https://rukminim1.flixcart.com/image/612/612/ks4yz680/drinks-juice/t/e/b/3-combo-of-mango-rose-strawberry-crush-1ltr-plastic-bottle-mapro-original-imag5rvamgezph3w.jpeg?q=70,Flipkart
32,ALOFRUT Mango Aloevera Juice 1000 ml (Pack of 12) - 1 C...,"₹1,400",4.8,(6),http://www.flipkart.com/alofrut-mango-aloevera-juice-1000-ml-pack-12-1-case-fruit-mai-pulp-healthy-hai-isme-ready-serve-drink/p/itmbad8a78805364?pid=DAJG2DNRB4FWH2QF&lid=LSTDAJG2DNRB4FWH2QFZUZCIA&marketplace=FLIPKART&q=mango&store=eat&srno=s_1_34&otracker=search&otracker1=search&fm=organic&iid=24d387b5-87ae-453b-b8c0-9be785f315cf.DAJG2DNRB4FWH2QF.SEARCH&ppt=None&ppn=None&ssid=zn1b97nd8g0000001655407518014&qH=aa00faf97d042c13,https://rukminim1.flixcart.com/image/612/612/ksru0sw0/drinks-juice/0/t/w/12000-mango-aloevera-juice-1000-ml-pack-of-12-1-case-fruit-juice-original-imag69gfmfq6xeyr.jpeg?q=70,Flipkart
33,"ALOFRUT Juices Taste Combo, 300 ml - Pack of 24 | Fruit...",₹955,4.7,(19),http://www.flipkart.com/alofrut-juices-taste-combo-300-ml-pack-24-fruit-juice-mai-aloevera-pulp-healthy-hai-isme-ready-serve-drink/p/itm71370aaf66d96?pid=DAJG4AHPQBXUHJCC&lid=LSTDAJG4AHPQBXUHJCCYW0KF3&marketplace=FLIPKART&q=mango&store=eat&srno=s_1_35&otracker=search&otracker1=search&fm=organic&iid=24d387b5-87ae-453b-b8c0-9be785f315cf.DAJG4AHPQBXUHJCC.SEARCH&ppt=None&ppn=None&ssid=zn1b97nd8g0000001655407518014&qH=aa00faf97d042c13,https://rukminim1.flixcart.com/image/612/612/kx7vc7k0/drinks-juice/d/o/p/7200-juices-taste-combo-300-ml-pack-of-24-fruit-juice-mai-original-imag9pxmpewyfbe8.jpeg?q=70,Flipkart
34,Cadbury tang combo,₹540,4.5,(4),http://www.flipkart.com/cadbury-tang-combo/p/itmd2c7efa419904?pid=DAJGDCX9PM8ETNNS&lid=LSTDAJGDCX9PM8ETNNSVE0X3K&marketplace=FLIPKART&q=mango&store=eat&srno=s_1_37&otracker=search&otracker1=search&fm=organic&iid=24d387b5-87ae-453b-b8c0-9be785f315cf.DAJGDCX9PM8ETNNS.SEARCH&ppt=None&ppn=None&ssid=zn1b97nd8g0000001655407518014&qH=aa00faf97d042c13,https://rukminim1.flixcart.com/image/612/612/l1whaq80/drinks-juice/t/t/t/500-drink-mix-combo-pouch-3-cadbury-original-imagdcjyeafhq8uw.jpeg?q=70,Flipkart
35,"Mapro Mango Juice, Mango Crush, 1Ltr",₹325,4.4,(70),http://www.flipkart.com/mapro-mango-juice-crush-1ltr/p/itmece0ce73e27eb?pid=DAJFTZ9EHNNGWS3E&lid=LSTDAJFTZ9EHNNGWS3EPVWKDK&marketplace=FLIPKART&q=mango&store=eat&srno=s_1_38&otracker=search&otracker1=search&fm=organic&iid=24d387b5-87ae-453b-b8c0-9be785f315cf.DAJFTZ9EHNNGWS3E.SEARCH&ppt=None&ppn=None&ssid=zn1b97nd8g0000001655407518014&qH=aa00faf97d042c13,https://rukminim1.flixcart.com/image/612/612/kcnp8y80/drinks-juice/s/3/e/1-mango-juice-mango-crush-1ltr-plastic-bottle-mapro-original-imaftqnnzz9nfefz.jpeg?q=70,Flipkart
36,ALOFRUT Mango Aloevera Juice 1000 ml (Pack of 3) - 1 Ca...,₹328,4.6,(9),http://www.flipkart.com/alofrut-mango-aloevera-juice-1000-ml-pack-3-1-case-fruit-mai-pulp-healthy-hai-isme-ready-serve-drink/p/itm55177ec39e513?pid=DAJG44ZVZS5BYP7C&lid=LSTDAJG44ZVZS5BYP7CSSH9RQ&marketplace=FLIPKART&q=mango&store=eat&srno=s_1_39&otracker=search&otracker1=search&fm=organic&iid=24d387b5-87ae-453b-b8c0-9be785f315cf.DAJG44ZVZS5BYP7C.SEARCH&ppt=None&ppn=None&ssid=zn1b97nd8g0000001655407518014&qH=aa00faf97d042c13,https://rukminim1.flixcart.com/image/612/612/kq18n0w0/drinks-juice/q/6/c/3000-mango-aloevera-juice-1000-ml-pack-of-3-1-case-fruit-juice-original-imag44zvaqahaegz.jpeg?q=70,Flipkart
37,Delight Foods Desai Bandhu Ambewale Alphonso Mango Pulp...,₹385,4.2,(40),http://www.flipkart.com/delight-foods-desai-bandhu-ambewale-alphonso-mango-pulp-850g-ratnagiri/p/itm2ac37a6cff000?pid=DAJFVNHTGWSQB5PN&lid=LSTDAJFVNHTGWSQB5PNGLQPBU&marketplace=FLIPKART&q=mango&store=eat&srno=s_1_40&otracker=search&otracker1=search&fm=organic&iid=24d387b5-87ae-453b-b8c0-9be785f315cf.DAJFVNHTGWSQB5PN.SEARCH&ppt=None&ppn=None&ssid=zn1b97nd8g0000001655407518014&qH=aa00faf97d042c13,https://rukminim1.flixcart.com/image/612/612/kf5pzm80/drinks-juice/5/p/n/850-desai-bandhu-ambewale-alphonso-mango-pulp-850g-ratnagiri-original-imafvz9q9dg79xbq.jpeg?q=70,Flipkart
38,"Nature's First 100% Alphonso Mango Pulp with No Added Sugar No Preservatives, 1.5 kg",₹475,3.0 out of 5 stars,135,http://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A03875033JZTNB6EGZKE7&url=%2FNatures-First-Alphonso-Mango-Preservatives%2Fdp%2FB08HVSPM74%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dmango%26qid%3D1655407552%26sr%3D8-1-spons%26psc%3D1&qualifier=1655407552&id=5306059656517862&widgetName=sp_atf,https://m.media-amazon.com/images/I/41sPav3147L._AC_UY218_.jpg,Amazon
39,"Spice Story Mango Mustard Chutney. Homemade Bengali Aam Kasundi 200G - Mustard Chutney, Sauce, Dip, Spread, Marinade, Shelf-stable, Gluten free, Non Dairy, Vegan, Authentic Indian Spice Blend , Crafted in Small Batches",₹134,3.7 out of 5 stars,58,http://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09192002R9VKEQE0IXKK&url=%2FSpice-Story-Mustard-Chutney-Traditional%2Fdp%2FB08C5DK14X%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dmango%26qid%3D1655407552%26sr%3D8-2-spons%26psc%3D1&qualifier=1655407552&id=5306059656517862&widgetName=sp_atf,https://m.media-amazon.com/images/I/81J6qKklCFL._AC_UY218_.jpg,Amazon
43,"Tang Mango Instant Drink Mix, 500 g",₹135,4.3 out of 5 stars,678,http://www.amazon.in/Tang-Mango-Instant-Drink-500g/dp/B078PLLM9D/ref=sr_1_6?keywords=mango&qid=1655407552&sr=8-6,https://m.media-amazon.com/images/I/61ja7pmDAhL._AC_UY218_.jpg,Amazon
44,Real Fruit Power Mango - 1L,₹100,4.3 out of 5 stars,"10,949",http://www.amazon.in/Real-Fruit-Power-Mango-1L/dp/B00B9A0Z4Q/ref=sr_1_7?keywords=mango&qid=1655407552&sr=8-7,https://m.media-amazon.com/images/I/71+6JAArZVL._AC_UY218_.jpg,Amazon
45,Dhanshe's Farm Ratnagiri Alphonso Mango Export Quality Size A(1 DOZEN) 235-255gram Naturally ripe and Carbide free,₹999,3.0 out of 5 stars,9,http://www.amazon.in/Dhanshes-Ratnagiri-Alphonso-235-255gram-Naturally/dp/B0B1QQ2DXB/ref=sr_1_8?keywords=mango&qid=1655407552&sr=8-8,https://m.media-amazon.com/images/I/319jVF8LQyS._AC_UY218_.jpg,Amazon
46,"Amazon Brand - Vedaka Raw Mango Pickle, 500g",₹150,3.5 out of 5 stars,169,http://www.amazon.in/Amazon-Brand-Vedaka-Mango-Pickle/dp/B093L7VPQL/ref=sr_1_9?keywords=mango&qid=1655407552&sr=8-9,https://m.media-amazon.com/images/I/718VqFIHNcL._AC_UY218_.jpg,Amazon
47,"Happilo Premium International Dried Mango 200g | Plant Based Protein | Sweet taste of Real Mangoes anytime | 100% Natural & No Artificial Colors, Gluten Free, No Preservatives",₹172,4.0 out of 5 stars,"2,227",http://www.amazon.in/Happilo-Premium-International-Dried-Mango/dp/B07Q6FV8WD/ref=sr_1_10?keywords=mango&qid=1655407552&sr=8-10,https://m.media-amazon.com/images/I/71rkr2DXH4L._AC_UY218_.jpg,Amazon
48,"Spice Story Special Grandma's Chutneys Combo (Mint Chutney 200G, Hot & Sweet Mango Chutney 250G, Lemon Chutney 250G) Pack of 3 | Chutney | Sauce | Spread | Dip | Marinade| Shelf-stable | Gluten free | Vegan | Authentic Indian Spice Blend | Crafted in Small Batches",₹380,3.8 out of 5 stars,153,http://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A09196002P3HIO8QG8KGO&url=%2FSpice-Story-Ethnic-Chutney-Superlicious%2Fdp%2FB08CNCNMMC%2Fref%3Dsr_1_11_sspa%3Fkeywords%3Dmango%26qid%3D1655407552%26sr%3D8-11-spons%26psc%3D1&qualifier=1655407552&id=5306059656517862&widgetName=sp_mtf,https://m.media-amazon.com/images/I/912E2FBFBXL._AC_UY218_.jpg,Amazon
49,"Tata Sampann 100% Pure Premium Raisins Seedless, 200g",₹93,4.4 out of 5 stars,774,http://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A00097171EG8U417DQAWM&url=%2FTata-Sampann-Premium-Raisins-Seedless%2Fdp%2FB09GNSFRVC%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dmango%26qid%3D1655407552%26sr%3D8-12-spons%26psc%3D1&qualifier=1655407552&id=5306059656517862&widgetName=sp_mtf,https://m.media-amazon.com/images/I/61R08q3S9zL._AC_UY218_.jpg,Amazon
50,"B Natural Mango Juice, Goodness of Fiber, Made with choicest Mangoes, 1 Litre (Pack of 2)",₹165,4.4 out of 5 stars,"3,214",http://www.amazon.in/Natural-Mango-Juice-1L-Pack/dp/B07DCXBQPV/ref=sr_1_13?keywords=mango&qid=1655407552&sr=8-13,https://m.media-amazon.com/images/I/91Xt+3+hwxS._AC_UY218_.jpg,Amazon
51,Natureland Organics Mango Pickle 350 Gm - Organic Healthy Pickles,₹164,3.7 out of 5 stars,181,http://www.amazon.in/Natureland-Organics-Mango-Pickle-350/dp/B07B9TQ1YG/ref=sr_1_14?keywords=mango&qid=1655407552&sr=8-14,https://m.media-amazon.com/images/I/51hDN0ipPHL._AC_UY218_.jpg,Amazon
52,"Nature's First 100% Alphonso Mango Pulp with No Added Sugar No Preservatives, 1.5 kg",₹475,3.0 out of 5 stars,135,http://www.amazon.in/Natures-First-Alphonso-Mango-Preservatives/dp/B08HVSPM74/ref=sr_1_15?keywords=mango&qid=1655407552&sr=8-15,https://m.media-amazon.com/images/I/41sPav3147L._AC_UY218_.jpg,Amazon
53,"Bisleri Fonzo Mango With Fizzz Juice, 160ml",₹10,3.7 out of 5 stars,14,http://www.amazon.in/Bisleri-Fonzo-Mango-Fizzz-Juice/dp/B09N7D66RJ/ref=sr_1_16_f3_0o_fs?almBrandId=ctnow&fpw=alm&keywords=mango&qid=1655407552&sr=8-16,https://m.media-amazon.com/images/I/51ajVqvQjiL._AC_UY218_.jpg,Amazon
54,Naturo Mango Fruit Bar Multipack - 66g,₹30,4.5 out of 5 stars,234,http://www.amazon.in/Naturo-Mango-Fruit-Bar-Multipack/dp/B07DN7WY4H/ref=sr_1_17_f3_0o_fs?almBrandId=ctnow&fpw=alm&keywords=mango&qid=1655407552&sr=8-17,https://m.media-amazon.com/images/I/51UYtd9sE4L._AC_UY218_.jpg,Amazon
55,"Everest Powder, Dry Mango, 100g Carton",₹74,4.5 out of 5 stars,"1,410",http://www.amazon.in/Everest-Powder-Mango-100g-Carton/dp/B0152ROO9I/ref=sr_1_18?keywords=mango&qid=1655407552&sr=8-18,https://m.media-amazon.com/images/I/91AGWtx3qdL._AC_UY218_.jpg,Amazon
56,"Kwality Wall's Crème Delights Mango Tub, 700 ml",₹146,4.2 out of 5 stars,"2,912",http://www.amazon.in/Kwality-Walls-Cr%C3%A8me-Delights-Mango/dp/B07NS7B4DV/ref=sr_1_19_f3_0o_fs?almBrandId=ctnow&fpw=alm&keywords=mango&qid=1655407552&sr=8-19,https://m.media-amazon.com/images/I/61HK2I616jL._AC_UY218_.jpg,Amazon
57,"Mala's, Whole Crush , Mango, 750 millilitre",₹184,4.1 out of 5 stars,226,http://www.amazon.in/Malas-Mango-Whole-Crush-750ml/dp/B01FF2SX7O/ref=sr_1_20?keywords=mango&qid=1655407552&sr=8-20,https://m.media-amazon.com/images/I/71QhpS7ebkL._AC_UY218_.jpg,Amazon
58,BEYOND WATER Electrolytes Ginger Lime & Raw Mango for Hydration,₹510,3.0 out of 5 stars,42,http://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A09825763OSMVPAA213EH&url=%2FBEYOND-WATER-Electrolytes-Ginger-Hydration%2Fdp%2FB09HSCX18J%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dmango%26qid%3D1655407552%26sr%3D8-21-spons%26psc%3D1&qualifier=1655407552&id=5306059656517862&widgetName=sp_btf,https://m.media-amazon.com/images/I/61+j7a5to+L._AC_UY218_.jpg,Amazon
59,"Khokha Shredded Mango Slices Khatti Meethi Mango Chutney, Aam Ki Chutney/Aam Chutney | आम की चटनी- 395 gm",₹245,4.1 out of 5 stars,66,http://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0831171ABEJ1QDU48KB&url=%2FKhokha-Shredded-Slices-Meethi-Mango-Chutney%2Fdp%2FB08NSCFW4H%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dmango%26qid%3D1655407552%26sr%3D8-22-spons%26psc%3D1&qualifier=1655407552&id=5306059656517862&widgetName=sp_btf,https://m.media-amazon.com/images/I/81mlVWU3CML._AC_UY218_.jpg,Amazon
